"Peak","Subset","N","N_alt","Pct","OS_HR","OS_p","PFS_HR","PFS_p","Direction"
"1Q:AMP","Global",127,23,18.1,0.81,0.6182,1.15,0.6778,"BETTER"
"1Q:AMP","COO:GCB",41,7,17.1,0.67,0.5964,0.88,0.8446,"BETTER"
"1Q:AMP","COO:ABC",48,8,16.7,0.91,0.8813,1.55,0.397,"BETTER"
"1Q:AMP","COO:Unclassified",13,1,7.7,NA,NA,NA,NA,NA
"1Q:AMP","C1",14,4,28.6,1.53,0.7276,1.46,0.7583,"WORSE"
"1Q:AMP","C2",31,7,22.6,0,0.9981,0.74,0.6469,"BETTER"
"1Q:AMP","C3",27,5,18.5,0.78,0.7549,0.56,0.4535,"BETTER"
"1Q:AMP","C4",21,3,14.3,1.22,0.8607,1.23,0.8553,"WORSE"
"1Q:AMP","C5",31,4,12.9,4.28,0.0367,4.16,0.0192,"WORSE"
"3P:AMP","Global",127,21,16.5,1.15,0.7104,1.28,0.4641,"WORSE"
"3P:AMP","COO:GCB",41,4,9.8,1.69,0.4931,2.03,0.2677,"WORSE"
"3P:AMP","COO:ABC",48,14,29.2,0.89,0.8258,1,0.9996,"BETTER"
"3P:AMP","COO:Unclassified",13,0,0,NA,NA,NA,NA,NA
"3P:AMP","C1",14,1,7.1,NA,NA,NA,NA,NA
"3P:AMP","C2",31,2,6.5,8.31,0.0153,7.69,0.0195,"WORSE"
"3P:AMP","C3",27,2,7.4,0,0.9983,0.74,0.7766,"BETTER"
"3P:AMP","C4",21,0,0,NA,NA,NA,NA,NA
"3P:AMP","C5",31,16,51.6,0.99,0.9839,1,0.9975,"BETTER"
"3Q:AMP","Global",127,28,22,1.19,0.6017,1.26,0.4593,"WORSE"
"3Q:AMP","COO:GCB",41,2,4.9,2.03,0.4967,1.46,0.7147,"WORSE"
"3Q:AMP","COO:ABC",48,22,45.8,1.13,0.7944,1.46,0.3961,"WORSE"
"3Q:AMP","COO:Unclassified",13,1,7.7,NA,NA,NA,NA,NA
"3Q:AMP","C1",14,1,7.1,NA,NA,NA,NA,NA
"3Q:AMP","C2",31,4,12.9,2.68,0.1428,1.91,0.3217,"WORSE"
"3Q:AMP","C3",27,1,3.7,NA,NA,NA,NA,NA
"3Q:AMP","C4",21,1,4.8,NA,NA,NA,NA,NA
"3Q:AMP","C5",31,21,67.7,0.72,0.5645,0.91,0.8667,"BETTER"
"5P:AMP","Global",127,24,18.9,0.76,0.5045,0.81,0.5724,"BETTER"
"5P:AMP","COO:GCB",41,9,22,1.2,0.758,1.23,0.6964,"WORSE"
"5P:AMP","COO:ABC",48,5,10.4,0.4,0.3763,0.33,0.2822,"BETTER"
"5P:AMP","COO:Unclassified",13,5,38.5,0.97,0.9755,0.73,0.7186,"BETTER"
"5P:AMP","C1",14,6,42.9,2.78,0.4047,2.88,0.3876,"WORSE"
"5P:AMP","C2",31,10,32.3,0.65,0.5208,0.93,0.8938,"BETTER"
"5P:AMP","C3",27,5,18.5,0.34,0.2973,0.23,0.1554,"BETTER"
"5P:AMP","C4",21,3,14.3,1.78,0.6057,1.79,0.6016,"WORSE"
"5P:AMP","C5",31,0,0,NA,NA,NA,NA,NA
"5Q:AMP","Global",127,23,18.1,0.75,0.4937,1.02,0.9545,"BETTER"
"5Q:AMP","COO:GCB",41,9,22,0.64,0.4952,1.21,0.719,"BETTER"
"5Q:AMP","COO:ABC",48,6,12.5,0.32,0.2694,0.27,0.2061,"BETTER"
"5Q:AMP","COO:Unclassified",13,4,30.8,1.33,0.756,1.02,0.9801,"WORSE"
"5Q:AMP","C1",14,6,42.9,2.78,0.4047,2.88,0.3876,"WORSE"
