"Name","Direction","Sample","Value","Gene"
"17Q24.3:AMP","AMP","DFCIDL001_DT",0,"GNA13"
"17Q24.3:AMP","AMP","DFCIDL002_DT",0,"GNA13"
"17Q24.3:AMP","AMP","DFCIDL003_DT",1,"GNA13"
"17Q24.3:AMP","AMP","DFCIDL004_DT",0,"GNA13"
"17Q24.3:AMP","AMP","DFCIDL007_DT",0,"GNA13"
"17Q24.3:AMP","AMP","DFCIDL008_DT",0,"GNA13"
"17Q24.3:AMP","AMP","DFCIDL009_DT",0,"GNA13"
"17Q24.3:AMP","AMP","DFCIDL010_DT",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_BWH_DLBCL64",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1103_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1104_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1105_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1106_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1107_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1108_NULLPAIR",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1109_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1110_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1111_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1112_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1113_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1114_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1115_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1117_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1118_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1119_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1120_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1121_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1123_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1124_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1125_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1126_NULLPAIR",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1127_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1128_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1129_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1130_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1131_NULLPAIR",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1132_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1133_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1134_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1135_NULLPAIR",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1136_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1138_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1139_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1140_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1141_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1142_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1144_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1145_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1146_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1147_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1148_NULLPAIR",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1149_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1150_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1151_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1152_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1153_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1154_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1155_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1156_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1157_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1158_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1159_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1162_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1163_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_1166_NULLPAIR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_PAIR13",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_PAIR2",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_PAIR20",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_PAIR22",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_PAIR23",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_C_D_PAIR5",0,"GNA13"
