Tumor_Sample_Barcode	GAMBL-only	Intersect	Reddy-only
Reddy_1008T	3	6	3
Reddy_1016T	10	9	4
Reddy_2043T	4	4	2
Reddy_2044T	2	2	0
Reddy_2045T	2	7	2
Reddy_2046T	2	1	5
Reddy_2047T	2	5	1
Reddy_2048T	0	0	2
Reddy_2057T	2	1	3
Reddy_2060T	0	0	4
Reddy_2072T	0	0	3
Reddy_2073T	13	8	2
Reddy_2074T	5	2	0
Reddy_2075T	10	6	1
Reddy_2076T	2	8	2
Reddy_2077T	4	3	3
Reddy_2078T	2	0	3
Reddy_2079T	0	4	0
Reddy_2080T	2	1	2
Reddy_2081T	7	16	3
Reddy_2083T	1	2	3
Reddy_2084T	4	8	3
Reddy_2085T	6	2	4
Reddy_2087T	6	4	2
Reddy_2088T	3	3	0
Reddy_2089T	3	4	1
Reddy_2091T	4	13	4
Reddy_2092T	3	2	1
Reddy_2093T	1	3	3
Reddy_2095T	5	8	3
Reddy_2097T	7	8	3
Reddy_2100T	2	2	2
Reddy_2101T	0	0	4
Reddy_2102T	3	4	1
Reddy_2103T	6	4	0
Reddy_2106T	2	4	2
Reddy_2107T	1	0	3
Reddy_2109T	0	2	2
Reddy_2110T	1	2	0
Reddy_2111T	10	9	3
Reddy_2112T	11	4	3
Reddy_2113T	4	1	0
Reddy_2114T	6	2	4
Reddy_2115T	6	4	1
Reddy_2120T	1	5	1
Reddy_2121T	1	3	1
Reddy_2122T	2	0	0
Reddy_2123T	2	0	0
Reddy_2124T	14	3	6
Reddy_2125T	3	9	7
Reddy_2126T	0	0	3
Reddy_2127T	8	10	3
Reddy_2128T	6	6	0
Reddy_2130T	1	1	1
Reddy_2133T	6	7	8
Reddy_2134T	1	0	2
Reddy_2135T	3	3	4
Reddy_2136T	0	2	3
Reddy_2137T	7	3	4
Reddy_2138T	2	1	1
Reddy_2140T	1	3	5
Reddy_2141T	1	14	3
Reddy_2142T	0	2	4
Reddy_2143T	1	2	1
Reddy_2144T	0	2	0
Reddy_2145T	1	3	3
Reddy_2146T	0	4	3
Reddy_2147T	1	3	2
Reddy_2148T	5	9	0
Reddy_2149T	4	3	3
Reddy_2150T	2	7	6
Reddy_2151T	6	0	3
Reddy_2152T	12	7	2
Reddy_2153T	23	9	5
Reddy_2154T	1	0	5
Reddy_2155T	1	1	1
Reddy_2156T	5	8	1
Reddy_2157T	3	1	8
Reddy_2158T	3	6	4
Reddy_2159T	3	3	4
Reddy_2160T	1	5	2
Reddy_2161T	3	14	3
Reddy_2162T	0	1	8
Reddy_2163T	13	12	14
Reddy_2164T	1	0	4
Reddy_2165T	0	1	2
Reddy_2166T	7	6	2
Reddy_2190T	11	10	1
Reddy_2191T	9	7	5
Reddy_2192T	3	0	2
Reddy_2193T	2	4	0
Reddy_2194T	1	0	5
Reddy_2195T	3	3	0
Reddy_2196T	5	4	0
Reddy_2198T	3	1	2
Reddy_2199T	4	3	2
Reddy_2200T	3	1	2
Reddy_2201T	1	2	3
Reddy_2203T	6	3	5
Reddy_2204T	7	4	4
Reddy_2205T	3	2	1
Reddy_2206T	5	1	1
Reddy_2207T	0	0	4
Reddy_2208T	16	9	1
Reddy_2209T	1	7	0
Reddy_2210T	0	2	1
Reddy_2211T	17	14	2
Reddy_2212T	3	0	1
Reddy_2213T	17	6	0
Reddy_2214T	4	0	0
Reddy_2215T	3	5	8
Reddy_2216T	9	8	4
Reddy_2217T	13	10	4
Reddy_2219T	4	3	3
Reddy_2220T	2	1	1
Reddy_2221T	2	0	2
Reddy_2222T	12	8	1
Reddy_2224T	0	1	1
Reddy_2225T	5	7	0
Reddy_2226T	6	9	1
Reddy_2227T	1	0	0
Reddy_2228T	3	4	3
Reddy_2229T	2	3	1
Reddy_2230T	2	0	2
Reddy_2231T	8	1	0
Reddy_2232T	5	4	1
Reddy_2233T	7	15	0
Reddy_2234T	13	11	0
Reddy_2235T	0	0	4
Reddy_2236T	5	4	0
Reddy_2237T	7	4	1
Reddy_2238T	10	1	1
Reddy_2239T	5	0	1
Reddy_2240T	5	1	0
Reddy_2241T	15	7	2
Reddy_2242T	3	5	0
Reddy_2243T	10	2	1
Reddy_2244T	5	2	0
Reddy_2246T	0	1	0
Reddy_2247T	2	1	3
Reddy_2248T	1	2	0
Reddy_2249T	5	2	1
Reddy_2250T	3	3	1
Reddy_2251T	0	1	3
Reddy_2253T	4	1	3
Reddy_2254T	3	0	2
Reddy_2255T	4	4	0
Reddy_2256T	1	1	3
Reddy_2259T	1	0	5
Reddy_2260T	2	2	4
Reddy_2261T	2	0	7
Reddy_2262T	4	6	11
Reddy_2263T	6	3	1
Reddy_2269T	4	2	2
Reddy_2270T	3	3	4
Reddy_2271T	4	4	5
Reddy_2272T	2	2	1
Reddy_2273T	0	0	3
Reddy_2274T	6	3	2
Reddy_2278T	5	10	1
Reddy_2279T	2	1	3
Reddy_2281T	5	5	4
Reddy_2286T	4	5	2
