Probe,Mean_Limited,Mean_Advanced,Log2FC,T_stat,P_value,FDR,Direction,Gene_Symbol,neg_log_p
ILMN_2194619,8.93148970588235,8.44118660287081,-0.0813612934847916,4.76696889095803,3.1679021022281e-06,0.0311653039652011,Limited-high,,5.499228247890329
ILMN_1665457,8.80464779411765,8.29463492822967,-0.0859861763906219,4.64387583650667,5.68575025882794e-06,0.0311653039652011,Limited-high,,5.245212220198676
ILMN_3243390,13.1344926470588,12.9119468899522,-0.0246350070932927,4.58785529457714,6.36632928609582e-06,0.0311653039652011,Limited-high,,5.196110902090144
ILMN_1686244,8.73119264705882,8.36597272727273,-0.0615733894931744,4.50473326007269,9.73313280434823e-06,0.0377315069201199,Limited-high,,5.0117473508255745
ILMN_1801040,11.3751691176471,10.8651531100478,-0.0661200090786989,4.38642801812454,1.57381748002844e-05,0.0462261670233953,Limited-high,,4.803045635390384
ILMN_1682567,14.6043022058824,14.4090885167464,-0.0194009764939136,4.30350249590253,2.21506391172661e-05,0.0542173810126949,Limited-high,,4.654613738465851
ILMN_1787237,10.4548507352941,9.80747033492823,-0.0921284952802508,4.2800925713148,2.48234497940776e-05,0.0560857205655113,Limited-high,,4.6051378633521916
ILMN_1658426,11.9067389705882,11.2626392344498,-0.0801641650501867,4.23703009463246,2.95496584288548e-05,0.0580281434298297,Limited-high,,4.5294475348612675
ILMN_1678484,10.9791132352941,10.5735880382775,-0.054246161419134,4.16156688603111,4.00068214590448e-05,0.0640899503820031,Limited-high,,4.397865951936003
ILMN_3235922,10.6149125,10.0073215311005,-0.0849541532836901,4.15327190499075,4.39664175086916e-05,0.0640899503820031,Limited-high,,4.356878920315988
ILMN_1769416,12.2256286764706,11.7848177033493,-0.052935109205863,4.14265009663261,4.40233681304326e-05,0.0640899503820031,Limited-high,,4.356316733602219
ILMN_1707958,10.8969110294118,10.3954,-0.0679101450166558,4.14084200964607,4.58221761549117e-05,0.0640899503820031,Limited-high,,4.3389242894454485
ILMN_1654778,14.6757198529412,14.485804784689,-0.0187785524517784,4.11435582776359,4.95403963609154e-05,0.0661409328142185,Limited-high,,4.3050405230495405
ILMN_2273224,11.6205889705882,11.2789928229665,-0.0430073783962454,4.04543955112907,6.64107204436137e-05,0.0728586774911181,Limited-high,,4.177761808377497
ILMN_1679897,10.9900345588235,10.319790430622,-0.0906970709741798,4.0421914134847,6.94553646245168e-05,0.0728586774911181,Limited-high,,4.158294204399415
ILMN_2252186,11.1571911764706,10.7996464114833,-0.0469470255012596,3.99947248867672,7.79539399463859e-05,0.0738601007775886,Limited-high,,4.10816192981789
ILMN_1766363,11.1123022058824,10.6181066985646,-0.0655708258527259,3.96821700949332,8.92622279542216e-05,0.0771895331110169,Limited-high,,4.049332277520708
ILMN_2320330,12.8705948529412,12.2229976076555,-0.0744212525003772,3.95824944299485,9.43769761980821e-05,0.0771895331110169,Limited-high,,4.025133941397865
ILMN_1717967,8.94843676470588,8.52501961722488,-0.0698525366765486,3.95620563810627,9.72358955844894e-05,0.0771895331110169,Limited-high,FOXO1,4.012173381406532
ILMN_2262749,10.2848551470588,9.88413349282297,-0.0572782610339131,3.91535945363714,0.0001124902311102,0.0805869041017424,Limited-high,,3.948885190967252
