Gene,N_mutated,N_wildtype,CR_rate_mut,CR_rate_wt,CR_diff,OR,Fisher_pval,FDR,Direction
BCL2,85,837,71.8,84.1,-12.3,0.480628785166086,0.006130831385875207,0.3845048624343682,Worse CR
KMT2C,52,870,96.2,82.2,14,5.413761708136515,0.006778933342150832,0.3845048624343682,Better CR
INO80,46,876,67.4,83.8,-16.4,0.4003505047368752,0.007690097248687364,0.3845048624343682,Worse CR
RARA,17,905,58.8,83.4,-24.6,0.28436268292062256,0.015560399158410116,0.5835149684403793,Worse CR
JAK1,26,896,65.4,83.5,-18.1,0.37426512178275,0.028974964122844695,0.7583499384974861,Worse CR
NFKBIE,33,889,97,82.5,14.5,6.802760574015817,0.03058283427954106,0.7583499384974861,Better CR
NFKB2,21,901,100,82.6,17.4,Inf,0.035389663796549356,0.7583499384974861,Better CR
PIK3R1,10,912,60,83.2,-23.2,0.3029133357350964,0.07344529637138739,1,Worse CR
LIN54,10,912,60,83.2,-23.2,0.3029133357350964,0.07344529637138739,1,Worse CR
NF1,30,892,70,83.4,-13.4,0.4646345580026404,0.07859238264312031,1,Worse CR
ZNF292,55,867,74.5,83.5,-9,0.5788334160021354,0.09576838952422859,1,Worse CR
BCL10,24,898,95.8,82.6,13.2,4.830682803184623,0.10235893499964052,1,Better CR
ANKRD17,36,886,72.2,83.4,-11.2,0.5176063669673892,0.10883702255194994,1,Worse CR
CDC73,8,914,62.5,83.2,-20.7,0.33823867430671223,0.14085485053878208,1,Worse CR
IL16,14,908,100,82.7,17.3,Inf,0.14478756012697364,1,Better CR
HNRNPU,21,901,71.4,83.2,-11.8,0.5037721516755442,0.14987781309719772,1,Worse CR
BTBD3,15,907,66.7,83.2,-16.6,0.403165509675573,0.1543369311813385,1,Worse CR
BRAF,17,905,70.6,83.2,-12.6,0.48492258127355875,0.18814514625254336,1,Worse CR
NFKBIA,27,895,74.1,83.2,-9.2,0.575670240988737,0.2004253878847564,1,Worse CR
EZH2,57,865,89.5,82.5,6.9,1.7966246807043695,0.20594566195003142,1,Better CR
PIK3CD,59,863,89.8,82.5,7.3,1.8722617141819589,0.20800936274198142,1,Better CR
DNMT3A,44,878,90.9,82.6,8.3,2.1089479105844826,0.21516912480221037,1,Better CR
XPO1,20,902,95,82.7,12.3,3.969452663389188,0.22741838345220639,1,Better CR
ZBTB7A,32,890,75,83.3,-8.3,0.6036235489294131,0.2308970588944594,1,Worse CR
B2M,50,872,90,82.6,7.4,1.8988765369535106,0.24382146581434577,1,Better CR
MYD88,161,761,86.3,82.3,4.1,1.3620727167367346,0.24848977806411926,1,Better CR
HNRNPD,13,909,69.2,83.2,-13.9,0.4558432252913675,0.252885844880439,1,Worse CR
FBXW7,13,909,69.2,83.2,-13.9,0.4558432252913675,0.252885844880439,1,Worse CR
FAM5C,37,885,75.7,83.3,-7.6,0.6251221974058813,0.2611877317728337,1,Worse CR
CD79B,42,880,76.2,83.3,-7.1,0.6420979834624547,0.2904367136588687,1,Worse CR
ZNF608,62,860,88.7,82.6,6.2,1.6591455346924073,0.29245062307123504,1,Better CR
RHOA,28,894,75,83.2,-8.2,0.605222698300744,0.30252347233092425,1,Worse CR
CREBBP,101,821,79.2,83.4,-4.2,0.756589502998424,0.3252194137119918,1,Worse CR
GNA13,73,849,87.7,82.6,5.1,1.500736963348192,0.3306135793774169,1,Better CR
TNFRSF14,74,848,87.8,82.5,5.3,1.5263389791760267,0.33210556736131475,1,Better CR
CCND3,32,890,90.6,82.7,7.9,2.021382454748315,0.3386837684489883,1,Better CR
ZEB2,33,889,90.9,82.7,8.2,2.093878778380062,0.34244670586065473,1,Better CR
STAT6,52,870,88.5,82.6,5.8,1.609366187008862,0.34458552853310204,1,Better CR
BTG1,34,888,76.5,83.2,-6.8,0.6556185606549599,0.34914184151478866,1,Worse CR
CARD11,83,839,79.5,83.3,-3.8,0.7778084755261307,0.3615531911320268,1,Worse CR
PTPN6,20,902,75,83.1,-8.1,0.608382609236197,0.36308096848795735,1,Worse CR
MET,8,914,100,82.8,17.2,Inf,0.3640686598102363,1,Better CR
SETD2,60,862,78.3,83.3,-5,0.7253681981195167,0.37281958328517895,1,Worse CR
MTOR,61,861,78.7,83.3,-4.6,0.7418132548092656,0.3773990916877907,1,Worse CR
CXCR4,10,912,70,83.1,-13.1,0.4745257494715227,0.3872842698446806,1,Worse CR
IKBKB,22,900,77.3,83.1,-5.8,0.6912200733893822,0.4033587018522839,1,Worse CR
GOLGA5,24,898,91.7,82.7,8.9,2.2932033686698845,0.4066559706106315,1,Better CR
DUSP2,70,852,87.1,82.6,4.5,1.424365286923575,0.40928602867911257,1,Better CR
KCMF1,11,911,72.7,83.1,-10.4,0.5429312090703857,0.41103609422420906,1,Worse CR
PTEN,11,911,72.7,83.1,-10.4,0.5429312090703857,0.41103609422420906,1,Worse CR
KMT2D,227,695,81.1,83.6,-2.5,0.8397972200621867,0.4158041968319167,1,Worse CR
SETD1B,78,844,79.5,83.3,-3.8,0.7774324591939203,0.43026004870815765,1,Worse CR
BTG2,50,872,88,82.7,5.3,1.535187077869636,0.43903322543609735,1,Better CR
ARID1B,80,842,80,83.3,-3.3,0.8047662208928946,0.43908705187212443,1,Worse CR
UBE2A,29,893,89.7,82.8,6.9,1.8050668437888044,0.45408939374078566,1,Better CR
JUNB,31,891,77.4,83.2,-5.7,0.6943502119269531,0.46299157718003014,1,Worse CR
CD22,13,909,76.9,83.1,-6.1,0.680233340494483,0.4727169459625737,1,Worse CR
KRAS,13,909,76.9,83.1,-6.1,0.680233340494483,0.4727169459625737,1,Worse CR
BIRC6,59,863,79.7,83.2,-3.5,0.791185474422022,0.47525464996223993,1,Worse CR
HIST1H1E,98,824,80.6,83.3,-2.6,0.836591602662614,0.48054376095056306,1,Worse CR
MSH2,34,888,88.2,82.8,5.5,1.5605571143539048,0.49351404756937434,1,Better CR
IRF4,36,886,88.9,82.7,6.2,1.6690427387354136,0.49599220402782923,1,Better CR
DICER1,16,906,93.8,82.8,11,3.1173903741743403,0.4972882228080425,1,Better CR
ATM,67,855,86.6,82.7,3.9,1.3486386901167435,0.5013180598708603,1,Better CR
MYB,17,905,76.5,83.1,-6.6,0.6615744518426555,0.5108627430932835,1,Worse CR
MYC,39,883,79.5,83.1,-3.6,0.7868346045455852,0.5173670416578929,1,Worse CR
BCL7A,41,881,87.8,82.7,5.1,1.500640075668036,0.5249687917395787,1,Better CR
PIM1,135,787,85.2,82.6,2.6,1.2116733783957867,0.5358276702165995,1,Better CR
CD58,20,902,90,82.8,7.2,1.8664214457592418,0.5543614950379434,1,Better CR
GNAI2,22,900,90.9,82.8,8.1,2.0792118982587877,0.5628207134320766,1,Better CR
MARK1,24,898,79.2,83.1,-3.9,0.7744954965354577,0.5841884762085909,1,Worse CR
MECOM,24,898,79.2,83.1,-3.9,0.7744954965354577,0.5841884762085909,1,Worse CR
IRF8,59,863,86.4,82.7,3.7,1.3299718646537655,0.5914521556722453,1,Better CR
DCAF6,26,896,88.5,82.8,5.6,1.5904935419922024,0.600924280212811,1,Better CR
MCL1,26,896,88.5,82.8,5.6,1.5904935419922024,0.600924280212811,1,Better CR
SGK1,63,859,81,83.1,-2.2,0.86321129002248,0.6063239520840388,1,Worse CR
SETD5,28,894,78.6,83.1,-4.5,0.745437617574219,0.6074982290621571,1,Worse CR
TAF1,31,891,80.6,83.1,-2.4,0.850409166651574,0.6346482012421805,1,Worse CR
NCOR1,31,891,80.6,83.1,-2.4,0.850409166651574,0.6346482012421805,1,Worse CR
STAT3,32,890,87.5,82.8,4.7,1.4526575007446245,0.6349603734250076,1,Better CR
ATR,33,889,87.9,82.8,5.1,1.5065343773836248,0.6366593271549246,1,Better CR
HRAS,9,913,77.8,83,-5.2,0.7159884964782757,0.6549221963888788,1,Worse CR
TNFAIP3,42,880,81,83.1,-2.1,0.8663904444957217,0.6768006995298428,1,Worse CR
TCL1A,11,911,90.9,82.9,8,2.0649316913994813,0.7009167665982312,1,Better CR
SYK,11,911,90.9,82.9,8,2.0649316913994813,0.7009167665982312,1,Better CR
MSH6,12,910,91.7,82.9,8.8,2.274342058003161,0.7021643146629145,1,Better CR
TIPARP,12,910,91.7,82.9,8.8,2.274342058003161,0.7021643146629145,1,Better CR
EP300,53,869,81.1,83.1,-2,0.875590015140728,0.707037757249333,1,Worse CR
ZFX,14,908,78.6,83,-4.5,0.7491524425428714,0.7173902047007327,1,Worse CR
RUNX1,14,908,78.6,83,-4.5,0.7491524425428714,0.7173902047007327,1,Worse CR
CIITA,14,908,78.6,83,-4.5,0.7491524425428714,0.7173902047007327,1,Worse CR
IKZF3,14,908,78.6,83,-4.5,0.7491524425428714,0.7173902047007327,1,Worse CR
