Gene,N_truncating,Pct,OS_HR,OS_pval,CR_diff,CR_pval
TP53,16,1.6,2.11,0.0273,-4.5,0.7174
MYD88,0,0,NA,NA,NA,NA
CD79B,3,0.3,NA,NA,NA,NA
EZH2,0,0,NA,NA,NA,NA
CREBBP,28,2.8,1.58,0.1233,-18.1,0.029
KMT2D,123,12.3,1.21,0.2424,-6,0.139
BCL2,0,0,NA,NA,NA,NA
NOTCH2,29,2.9,1.95,0.0147,-6.2,0.4251
NOTCH1,0,0,NA,NA,NA,NA
TNFAIP3,33,3.3,0.56,0.1537,0.9,1
CARD11,1,0.1,NA,NA,NA,NA
BCL6,4,0.4,NA,NA,NA,NA
MYC,0,0,NA,NA,NA,NA
B2M,20,2,0.46,0.1787,17.4,0.0575
CDKN2A,8,0.8,1.16,0.7944,2.8,1
PRDM1,12,1.2,1.74,0.2187,-1.2,1
SOCS1,17,1.7,0.51,0.2429,-3,0.7296
SGK1,2,0.2,NA,NA,NA,NA
GNA13,27,2.7,0.98,0.9547,4.1,0.7827
MEF2B,10,1,2.94,0.0049,-8,0.6301
PIM1,20,2,1.25,0.5301,2.1,1
BTG1,4,0.4,NA,NA,NA,NA
BTG2,0,0,NA,NA,NA,NA
IRF4,0,0,NA,NA,NA,NA
FOXO1,0,0,NA,NA,NA,NA
CD58,16,1.6,1.82,0.117,3.8,1
KLHL14,18,1.8,2.55,0.0024,-14.5,0.169
HIST1H1E,4,0.4,NA,NA,NA,NA
HIST1H1C,0,0,NA,NA,NA,NA
EP300,7,0.7,0.38,0.3377,2.8,1
KMT2C,2,0.2,NA,NA,NA,NA
ARID1A,22,2.2,0.73,0.4776,7.7,0.5567
TET2,25,2.5,1.4,0.3243,-2.1,0.7699
