Gene,N_truncating,N_wildtype,Pct_mutated,HR,HR_lower,HR_upper,Cox_pval,LogRank_pval,Death_rate_mut,Death_rate_wt,FDR,Direction
KLHL14,18,949,1.9,2.5501780670136185,1.3944715626800201,4.663707993426903,0.002368942007105752,0.0016462956183949107,61.1,31,0.09301413411836669,Worse
MEF2B,10,957,1,2.935433913991614,1.3864906262396608,6.214807442861629,0.004895480743071931,0.0032130963486304287,70,31.1,0.09301413411836669,Worse
MEF2BNB-MEF2B,10,957,1,2.935433913991614,1.3864906262396608,6.214807442861629,0.004895480743071931,0.0032130963486304287,70,31.1,0.09301413411836669,Worse
NOTCH2,28,939,2.9,1.9508254913454726,1.1403400955951555,3.3373553314347495,0.014713675122882195,0.013003166500383467,50,31,0.20966987050107128,Worse
TP53,16,951,1.7,2.1121691821829476,1.0872980247037376,4.103068848468632,0.0273136539153967,0.024039613252539338,56.2,31.1,0.2909198897066511,Worse
ETV6,8,959,0.8,2.653343940326415,1.0954472868166198,6.426812271474872,0.030623146284910644,0.02445436818604907,62.5,31.3,0.2909198897066511,Worse
CD58,15,952,1.6,1.8224586602452162,0.8603947372920164,3.8602695069432142,0.11704267760875586,0.11158686548668095,46.7,31.3,0.7965186990525638,Worse
CREBBP,26,941,2.7,1.5754629522617183,0.8838129288603351,2.8083810871038315,0.12327004200288759,0.12043143175517979,46.2,31.1,0.7965186990525638,Worse
MGA,6,961,0.6,2.108792177511488,0.7860078986003741,5.657709618252337,0.1384029087401588,0.13019784383278576,66.7,31.3,0.7965186990525638,Worse
ZNF292,7,960,0.7,2.0880453441720106,0.7780627547475689,5.603575460610406,0.14381642326768007,0.1350542781762838,57.1,31.4,0.7965186990525638,Worse
TNFAIP3,30,937,3.1,0.5551200689127982,0.24728141088849667,1.2461846193877615,0.15371413490488073,0.14779382915235617,20,31.9,0.7965186990525638,Better
B2M,20,947,2.1,0.45824995116418277,0.14694975509705327,1.4290123695904462,0.17869951957766395,0.1677755343222498,15,31.9,0.8145533681156599,Better
PRDM1,12,955,1.2,1.7422313760841839,0.7193405915869644,4.219656451077986,0.21866972416227454,0.21266270550641952,41.7,31.4,0.8145533681156599,Worse
ARID1B,8,959,0.8,0.30692321987188176,0.04308437431433368,2.186450758440829,0.23837100524994487,0.21172244070640134,12.5,31.7,0.8145533681156599,Better
FAS,6,961,0.6,1.9771660558297488,0.6336910910428954,6.168913635651455,0.24032730728130125,0.23117825492131583,50,31.4,0.8145533681156599,Worse
KMT2D,115,852,11.9,1.2144846698553267,0.8767822076394736,1.6822570080255326,0.2424278566276335,0.24191629628470246,36.5,30.9,0.8145533681156599,Worse
SOCS1,17,950,1.8,0.5078348594341204,0.1628445701110727,1.5836956938789397,0.24293696943800383,0.2339098678670375,17.6,31.8,0.8145533681156599,Better
CHD8,5,962,0.5,2.170909264753597,0.538931695776059,8.744794697974712,0.2755400025448368,0.2632546544131845,40,31.5,0.837118448540633,Worse
CD70,23,944,2.4,0.6219932362391112,0.2569479499022349,1.5056574145635466,0.2924802929493507,0.28782709637932236,21.7,31.8,0.837118448540633,Better
BCL10,12,955,1.2,0.4747071213860913,0.11814680753864587,1.9073460873748804,0.29372577141776596,0.2824719443440713,16.7,31.7,0.837118448540633,Better
TET2,25,942,2.6,1.3960420079001739,0.719076892727939,2.710326680681315,0.3242925770115616,0.3224717359489996,36,31.4,0.8532739289499485,Worse
EP300,7,960,0.7,0.38274310846106,0.053729148507397254,2.7264956014381316,0.33770665061637883,0.3191657090339012,14.3,31.7,0.8532739289499485,Better
SPEN,42,925,4.3,0.7582346655948395,0.4152741909430953,1.384434238024917,0.36759391138147823,0.3664280031507471,26.2,31.8,0.8532739289499485,Better
CASP8,7,960,0.7,0.40906425771343535,0.05742263283830444,2.9140699175155564,0.3722303468557322,0.3564244309741401,14.3,31.7,0.8532739289499485,Better
WAC,12,955,1.2,0.532326151310838,0.1324900402844855,2.1388108174844587,0.37424295129383706,0.36612961032756974,16.7,31.7,0.8532739289499485,Better
CHD1,6,961,0.6,0.4442112194580888,0.06234754248291586,3.164897919537275,0.4179617474396804,0.4050817288061811,16.7,31.6,0.9136642173090322,Better
PHF6,11,956,1.1,1.3990309557465208,0.577611524321163,3.3885882339991786,0.4569113613091027,0.4544588318671393,45.5,31.4,0.9136642173090322,Worse
ANKRD17,5,962,0.5,1.6633794315844708,0.41367012622924665,6.6884963597418725,0.47355249266414606,0.4679498967726905,40,31.5,0.9136642173090322,Worse
ARID1A,21,946,2.2,0.7258685829239158,0.2998389953156621,1.7572270715531297,0.4775512219929319,0.47624579504299613,23.8,31.7,0.9136642173090322,Better
NFKBIA,26,941,2.7,1.2491011499066365,0.6429441890822035,2.4267326918769236,0.5115531838465006,0.510810546621007,34.6,31.5,0.9136642173090322,Worse
PIM1,20,947,2.1,1.2524886085469642,0.6201996788557019,2.529391368654509,0.5301306444618118,0.5293858110108276,40,31.4,0.9136642173090322,Worse
