Gene,N_truncating,N_wildtype,Pct_mutated,CR_rate_mut,CR_rate_wt,CR_diff,OR,Fisher_pval,FDR,Direction
CREBBP,26,896,2.8,65.4,83.5,-18.1,0.37426512178275,0.028974964122844695,1,Worse CR
B2M,19,903,2.1,100,82.6,17.4,Inf,0.05753173054425338,1,Better CR
ZEB2,17,905,1.8,100,82.7,17.3,Inf,0.09408218654872141,1,Better CR
RB1,12,910,1.3,66.7,83.2,-16.5,0.40475106640620034,0.13164723003539297,1,Worse CR
KMT2D,112,810,12.1,77.7,83.7,-6,0.6778369857513986,0.1389613853359357,1,Worse CR
KLHL14,16,906,1.7,68.8,83.2,-14.5,0.44399475643427067,0.16898926308857795,1,Worse CR
SETD5,9,913,1,66.7,83.1,-16.5,0.4063333755698562,0.18597576179598987,1,Worse CR
ANKRD17,5,917,0.5,60,83.1,-23.1,0.3056607393443204,0.20291025555923003,1,Worse CR
BCL10,12,910,1.3,100,82.7,17.3,Inf,0.23653548086302384,1,Better CR
NFKBIA,23,899,2.5,73.9,83.2,-9.3,0.5723793145488109,0.2584129592644112,1,Worse CR
BIRC6,6,916,0.7,66.7,83.1,-16.4,0.4078513043042635,0.27176322124844426,1,Worse CR
HNRNPU,6,916,0.7,66.7,83.1,-16.4,0.4078513043042635,0.27176322124844426,1,Worse CR
FAS,7,915,0.8,71.4,83.1,-11.6,0.5102982992391417,0.34040571935694924,1,Worse CR
ATM,8,914,0.9,100,82.8,17.2,Inf,0.3640686598102363,1,Better CR
ZNF608,9,913,1,100,82.8,17.2,Inf,0.3708475928884305,1,Better CR
NOTCH2,26,896,2.8,76.9,83.1,-6.2,0.6759394795493452,0.4251329931945489,1,Worse CR
IRF8,14,908,1.5,92.9,82.8,10,2.6947493849140014,0.4850054923856848,1,Better CR
ARID1A,21,901,2.3,90.5,82.8,7.7,1.9726745918354391,0.556742245317884,1,Better CR
S1PR2,5,917,0.5,100,82.9,17.1,Inf,0.5952681439935288,1,Better CR
ZNF292,5,917,0.5,100,82.9,17.1,Inf,0.5952681439935288,1,Better CR
XPO1,5,917,0.5,100,82.9,17.1,Inf,0.5952681439935288,1,Better CR
MGA,5,917,0.5,100,82.9,17.1,Inf,0.5952681439935288,1,Better CR
CXCR4,5,917,0.5,100,82.9,17.1,Inf,0.5952681439935288,1,Better CR
TMEM30A,26,896,2.8,88.5,82.8,5.6,1.5904935419922024,0.600924280212811,1,Better CR
ARID1B,7,915,0.8,100,82.8,17.2,Inf,0.6098524680157626,1,Better CR
MEF2B,8,914,0.9,75,83,-8,0.6130287848232532,0.630136484901126,1,Worse CR
MEF2BNB-MEF2B,8,914,0.9,75,83,-8,0.6130287848232532,0.630136484901126,1,Worse CR
MAGT1,9,913,1,77.8,83,-5.2,0.7159884964782757,0.6549221963888788,1,Worse CR
BCL7A,9,913,1,77.8,83,-5.2,0.7159884964782757,0.6549221963888788,1,Worse CR
SPEN,40,882,4.3,80,83.1,-3.1,0.8132910521419262,0.6659597705073571,1,Worse CR
TP53,14,908,1.5,78.6,83,-4.5,0.7491524425428714,0.7173902047007327,1,Worse CR
SOCS1,15,907,1.6,80,83,-3,0.8182699179946668,0.7295766148843423,1,Worse CR
TET2,21,901,2.3,81,83,-2.1,0.8694860015455459,0.7699120052031765,1,Worse CR
GNA13,23,899,2.5,87,82.9,4.1,1.3776393635011626,0.7826773930656789,1,Better CR
WAC,12,910,1.3,83.3,83,0.4,1.0264649018279386,0.9999999999999998,1,Better CR
TNFRSF14,26,896,2.8,84.6,82.9,1.7,1.1324232560080718,0.9999999999999999,1,Better CR
CHST2,5,917,0.5,80,83,-3,0.8201794584761037,0.9999999999999999,1,Worse CR
PIM1,20,902,2.2,85,82.9,2.1,1.1664804136054305,0.9999999999999999,1,Better CR
UBE2A,5,917,0.5,80,83,-3,0.8201794584761037,0.9999999999999999,1,Worse CR
FUBP1,5,917,0.5,80,83,-3,0.8201794584761037,0.9999999999999999,1,Worse CR
CHD8,5,917,0.5,80,83,-3,0.8201794584761037,0.9999999999999999,1,Worse CR
SETD1B,13,909,1.4,84.6,82.9,1.7,1.1304916484804919,1,1,Better CR
CD70,21,901,2.3,85.7,82.9,2.8,1.236679875184938,1,1,Better CR
TBL1XR1,6,916,0.7,83.3,83,0.4,1.026290564489715,1,1,Better CR
PHF6,10,912,1.1,90,82.9,7.1,1.8561158335762282,1,1,Better CR
NFKBIE,6,916,0.7,83.3,83,0.4,1.026290564489715,1,1,Better CR
CDKN2A,7,915,0.8,85.7,83,2.8,1.2329389599886402,1,1,Better CR
ETV6,7,915,0.8,85.7,83,2.8,1.2329389599886402,1,1,Better CR
CASP8,7,915,0.8,85.7,83,2.8,1.2329389599886402,1,1,Better CR
CCND3,10,912,1.1,90,82.9,7.1,1.8561158335762282,1,1,Better CR
EP300,7,915,0.8,85.7,83,2.8,1.2329389599886402,1,1,Better CR
TOX,10,912,1.1,90,82.9,7.1,1.8561158335762282,1,1,Better CR
PRDM1,11,911,1.2,81.8,83,-1.2,0.9226857250123707,1,1,Worse CR
TNFAIP3,31,891,3.4,83.9,82.9,0.9,1.0695061006289466,1.0000000000000002,1,Better CR
CD58,15,907,1.6,86.7,82.9,3.8,1.3393714489045634,1.0000000000000002,1,Better CR
