"Gene","N_Patients","Pct_Patients","Silent","Missense","Truncating","Total","Pct_Silent","Pct_Trunc","Trunc_Mis_Ratio","Pattern","Pathway","Function"
"BCL2",32,23.7,53,56,0,109,48.6,0,0,"aSHM Passenger","Apoptosis","Anti-apoptotic, aSHM target"
"PCLO",36,26.7,19,64,6,89,21.3,6.7,0.094,"aSHM Passenger","Unknown","Presynaptic protein, frequent aSHM"
"PIM1",38,28.1,33,47,4,84,39.3,4.8,0.085,"aSHM Passenger","Survival","Serine/threonine kinase, aSHM target"
"CSMD3",21,15.6,17,42,8,67,25.4,11.9,0.19,"Neutral/Unclear",NA,NA
"FAT4",21,15.6,9,52,3,64,14.1,4.7,0.058,"Hotspot/GoF","Wnt/Hippo","Protocadherin"
"BTG1",35,25.9,22,37,3,62,35.5,4.8,0.081,"aSHM Passenger","Proliferation","Anti-proliferative, aSHM target"
"SGK1",20,14.8,9,36,7,52,17.3,13.5,0.194,"Neutral/Unclear","Survival","Serum/glucocorticoid kinase, aSHM target"
"KMT2D",36,26.7,2,8,38,48,4.2,79.2,4.75,"Strong LoF Selection","Chromatin","H3K4 methyltransferase, enhancer regulation"
"USH2A",22,16.3,17,22,2,41,41.5,4.9,0.091,"aSHM Passenger","Unknown","Usher syndrome protein"
"TTN",26,19.3,15,23,2,40,37.5,5,0.087,"aSHM Passenger","Unknown","Titin (often passenger)"
"FAT1",20,14.8,9,27,1,37,24.3,2.7,0.037,"aSHM Passenger","Wnt/Hippo","Protocadherin"
"LRP1B",17,12.6,10,24,2,36,27.8,5.6,0.083,"aSHM Passenger",NA,NA
"ZFHX4",10,7.4,9,25,2,36,25,5.6,0.08,"aSHM Passenger",NA,NA
"CREBBP",28,20.7,0,22,12,34,0,35.3,0.545,"LoF Selection","Chromatin","Histone acetyltransferase, transcriptional coactivator"
"TP53",31,23,0,26,6,32,0,18.8,0.231,"Mixed","Cell Cycle/Apoptosis","Tumor suppressor, cell cycle checkpoint"
"IGLL5",15,11.1,9,21,1,31,29,3.2,0.048,"aSHM Passenger","B-cell","Surrogate light chain, aSHM target"
"MUC16",19,14.1,10,20,1,31,32.3,3.2,0.05,"aSHM Passenger",NA,NA
"MYC",9,6.7,6,20,1,27,22.2,3.7,0.05,"aSHM Passenger","Proliferation","Transcription factor, aSHM target"
"PCDH10",11,8.1,7,18,2,27,25.9,7.4,0.111,"aSHM Passenger",NA,NA
"GNA13",12,8.9,3,17,6,26,11.5,23.1,0.353,"Mixed","GC Exit","G-protein, S1P signaling"
"HIST1H1E",16,11.9,4,22,0,26,15.4,0,0,"aSHM Passenger","Chromatin","Linker histone, aSHM target"
"ZFP36L1",17,12.6,10,8,8,26,38.5,30.8,1,"LoF Selection",NA,NA
