"Gene","N_Patients","Pct_Patients","Silent","Missense","Truncating","Total","Pct_Silent","Pct_Trunc","Trunc_Mis_Ratio","Pattern","Pathway","Function","GAMBL_Patients","GAMBL_Missense","GAMBL_Truncating","GAMBL_Total","GAMBL_Pct_Pts","GAMBL_Pct_Trunc","Corrected_Class","Mechanism","Final_Class","In_GAMBL","Validation"
"BCL2",32,23.7,53,56,0,109,48.6,0,0,"aSHM Passenger","Apoptosis","Anti-apoptotic, aSHM target",97,146,0,146,10,0,"aSHM Target","Passenger mutations from AID","aSHM Target",TRUE,"N/A (no silent)"
"PCLO",36,26.7,19,64,6,89,21.3,6.7,0.094,"aSHM Passenger","Unknown","Presynaptic protein, frequent aSHM",NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"PIM1",38,28.1,33,47,4,84,39.3,4.8,0.085,"aSHM Passenger","Survival","Serine/threonine kinase, aSHM target",148,254,20,274,15.3,7.3,"aSHM Target","Passenger mutations from AID","aSHM Target",TRUE,"N/A (no silent)"
"CSMD3",21,15.6,17,42,8,67,25.4,11.9,0.19,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"FAT4",21,15.6,9,52,3,64,14.1,4.7,0.058,"Hotspot/GoF","Wnt/Hippo","Protocadherin",NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"BTG1",35,25.9,22,37,3,62,35.5,4.8,0.081,"aSHM Passenger","Proliferation","Anti-proliferative, aSHM target",39,44,4,48,4,8.3,"aSHM Target","Passenger mutations from AID","aSHM Target",TRUE,"N/A (no silent)"
"SGK1",20,14.8,9,36,7,52,17.3,13.5,0.194,"Neutral/Unclear","Survival","Serum/glucocorticoid kinase, aSHM target",67,84,2,86,6.9,2.3,NA,NA,"Unclear",TRUE,"?"
"KMT2D",36,26.7,2,8,38,48,4.2,79.2,4.75,"Strong LoF Selection","Chromatin","H3K4 methyltransferase, enhancer regulation",243,142,137,279,25.1,49.1,"Tumor Suppressor","H3K4 methyltransferase LoF","Tumor Suppressor",TRUE,"✓ Yes"
"USH2A",22,16.3,17,22,2,41,41.5,4.9,0.091,"aSHM Passenger","Unknown","Usher syndrome protein",NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"TTN",26,19.3,15,23,2,40,37.5,5,0.087,"aSHM Passenger","Unknown","Titin (often passenger)",NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
