Probe,Mean_Limited,Mean_Advanced,Log2FC,T_stat,P_value,FDR,Direction,Gene_Symbol,neg_log_p
ILMN_1774287,9.63472794117647,10.1814755980861,0.0795505024401109,-5.15141191888066,4.43556292775309e-07,0.0130281354313964,Advanced-high,,6.353051254997378
ILMN_2194619,8.93148970588235,8.44118660287081,-0.0813612934847916,4.76696889095803,3.1679021022281e-06,0.0311653039652011,Limited-high,,5.499228247890329
ILMN_1665457,8.80464779411765,8.29463492822967,-0.0859861763906219,4.64387583650667,5.68575025882794e-06,0.0311653039652011,Limited-high,,5.245212220198676
ILMN_1725510,8.3675625,8.63619377990431,0.0455346259549576,-4.59554575130039,6.28891158514154e-06,0.0311653039652011,Advanced-high,,5.201424510909083
ILMN_1715401,12.4911948529412,13.3053727272727,0.0910268204275481,-4.60075688971529,6.34953012073897e-06,0.0311653039652011,Advanced-high,,5.19725841227034
ILMN_3243390,13.1344926470588,12.9119468899522,-0.0246350070932927,4.58785529457714,6.36632928609582e-06,0.0311653039652011,Limited-high,,5.196110902090144
ILMN_1686244,8.73119264705882,8.36597272727273,-0.0615733894931744,4.50473326007269,9.73313280434823e-06,0.0377315069201199,Limited-high,,5.0117473508255745
ILMN_1718766,12.5878161764706,13.1843258373206,0.0667439730781151,-4.49922987794448,1.02768642026746e-05,0.0377315069201199,Advanced-high,,4.988139382152701
ILMN_1739582,8.36664558823529,8.66283827751196,0.0501315727525014,-4.40067873952251,1.45523497778727e-05,0.0462261670233953,Advanced-high,,4.837066875188774
ILMN_1801040,11.3751691176471,10.8651531100478,-0.0661200090786989,4.38642801812454,1.57381748002844e-05,0.0462261670233953,Limited-high,,4.803045635390384
ILMN_1715068,9.41561397058824,10.0883296650718,0.0994581791973377,-4.33200518404029,2.03197489090783e-05,0.0542173810126949,Advanced-high,,4.692081662927267
ILMN_1682567,14.6043022058824,14.4090885167464,-0.0194009764939136,4.30350249590253,2.21506391172661e-05,0.0542173810126949,Limited-high,,4.654613738465851
ILMN_1787237,10.4548507352941,9.80747033492823,-0.0921284952802508,4.2800925713148,2.48234497940776e-05,0.0560857205655113,Limited-high,,4.6051378633521916
ILMN_1658426,11.9067389705882,11.2626392344498,-0.0801641650501867,4.23703009463246,2.95496584288548e-05,0.0580281434298297,Limited-high,,4.5294475348612675
ILMN_2400500,9.29569044117647,9.51887511961722,0.0341927186779012,-4.24094175172795,2.96344188835437e-05,0.0580281434298297,Advanced-high,,4.5282035846437845
ILMN_1683923,9.47054338235294,10.3389124401914,0.126437508465699,-4.215914008465,3.27246378303298e-05,0.0600742538970279,Advanced-high,,4.485125151168639
ILMN_1678484,10.9791132352941,10.5735880382775,-0.054246161419134,4.16156688603111,4.00068214590448e-05,0.0640899503820031,Limited-high,,4.397865951936003
ILMN_1696316,11.5294647058824,11.8695229665072,0.0419006028970537,-4.15597003532739,4.2916585970783e-05,0.0640899503820031,Advanced-high,,4.367374833607831
ILMN_3235922,10.6149125,10.0073215311005,-0.0849541532836901,4.15327190499075,4.39664175086916e-05,0.0640899503820031,Limited-high,,4.356878920315988
ILMN_1769416,12.2256286764706,11.7848177033493,-0.052935109205863,4.14265009663261,4.40233681304326e-05,0.0640899503820031,Limited-high,,4.356316733602219
ILMN_1707958,10.8969110294118,10.3954,-0.0679101450166558,4.14084200964607,4.58221761549117e-05,0.0640899503820031,Limited-high,,4.3389242894454485
ILMN_1654778,14.6757198529412,14.485804784689,-0.0187785524517784,4.11435582776359,4.95403963609154e-05,0.0661409328142185,Limited-high,,4.3050405230495405
ILMN_1727360,8.291175,8.53921818181818,0.0424769339360974,-4.08816134482614,5.47853486834395e-05,0.0699632722404342,Advanced-high,,4.2613355699223785
ILMN_1726108,9.00137573529412,9.20231483253589,0.031816342267283,-4.07922764542871,5.78160388579417e-05,0.0707571955556443,Advanced-high,,4.237951666402269
ILMN_2412490,8.07639485294118,8.22634066985646,0.0265068525566816,-4.03857561075471,6.63909715391811e-05,0.0728586774911181,Advanced-high,,4.177890976013147
ILMN_2273224,11.6205889705882,11.2789928229665,-0.0430073783962454,4.04543955112907,6.64107204436137e-05,0.0728586774911181,Limited-high,,4.177761808377497
ILMN_1777060,8.76353529411765,9.05374258373206,0.0469485947743508,-4.03486798774343,6.93848003224185e-05,0.0728586774911181,Advanced-high,,4.158735657197617
