Cell_Line,Cell_Type,Cellosaurus_CVCL,DSMZ_ACC,ATCC_Catalog,Source_JCRB,Source_RCB,Source_ECACC,Notes
REC-1,MCL,CVCL_1884,ACC-584,CRL-3004,,,,Both DSMZ and ATCC available
GRANTA-519,MCL,CVCL_1818,ACC-342,,,,,DSMZ only
OCI-LY3,DLBCL_ABC,CVCL_8800,ACC-761,,,,,DSMZ only
Toledo,DLBCL_GCB,CVCL_3611,,CRL-2631,,,ATCC only
NU-DUL-1,DLBCL_ABC,CVCL_1877,ACC-579,CRL-2969,,,,Both DSMZ and ATCC available
BL-41,Burkitt,CVCL_1087,ACC-160,,,,,DSMZ only
RI-1,DLBCL_ABC,CVCL_1885,ACC-585,,,,,DSMZ only
MEC-1,CLL,CVCL_1870,ACC-497,,,,,DSMZ only
CA46,Burkitt,CVCL_1101,ACC-73,CRL-1648,,,,Both DSMZ and ATCC available
ST486,Burkitt,CVCL_1712,,CRL-1647,,,ATCC only
SU-DHL-5,DLBCL_GCB,CVCL_1735,ACC-571,CRL-2958,,,,Both DSMZ and ATCC available
RL,DLBCL_GCB,CVCL_1660,ACC-613,CRL-2261,,,,Both DSMZ and ATCC available
HT,DLBCL_GCB,CVCL_5T93,,,,,,No DSMZ or ATCC numbers available
BCP-1,PEL,CVCL_0107,,CRL-2294,,,ATCC only
BJAB,Burkitt,CVCL_5711,ACC-757,,,,,DSMZ only
BL-2,Burkitt,CVCL_1966,ACC-625,,,,,DSMZ only
CI,CLL,CVCL_Y548,ACC-770,,,,,DSMZ only
DOGKIT,Burkitt,CVCL_2023,ACC-629,,,,,DSMZ only
DOGUM,Burkitt,CVCL_2024,ACC-644,,,,,DSMZ only
GUMBUS,Burkitt,CVCL_2051,ACC-630,,,,,DSMZ only
P3HR-1,Burkitt,CVCL_2676,,HTB-62,,,ATCC only
MEC2,CLL,CVCL_1871,ACC-500,,,,,DSMZ only
OCILY-132,Other,,,,,,NOT IN CELLOSAURUS - Search returned 0 hits
JeKo-1,MCL,CVCL_1865,ACC-553,CRL-3006,,,,Both DSMZ and ATCC available
U-2904,DLBCL_ABC,CVCL_X504,ACC-768,,,,,DSMZ only
U-2940,DLBCL_GCB,CVCL_1897,ACC-634,,,,,DSMZ only
WSU-NHL,DLBCL_GCB,CVCL_1793,ACC-58,CRL-11584,,,,Both DSMZ and ATCC available
WSU-FSCCL,FL,CVCL_1903,ACC-612,,,,,DSMZ only
KARPAS 1718,MZL,CVCL_2539,,,,ECACC 08072401,ECACC only
KARPAS-231,DLBCL_GCB,CVCL_1822,ACC-562,,,DSMZ discontinued,DSMZ only (discontinued)
PGA-1,CLL,CVCL_Y545,ACC-766,,,,,DSMZ only
ROS-50,Other,CVCL_1887,ACC-557,,,,,DSMZ only
ULA,Other,CVCL_1854,ACC-627,,,,,DSMZ only
U-2946,Other,CVCL_X503,ACC-795,,,,,DSMZ only
WILL-1,Other,CVCL_1900,ACC-651,,,,,DSMZ only
CTB-1,Other,CVCL_1149,,,RCB1316,,JCRB/RCB only
EJ-1,Other,CVCL_2893,,,,JCRB/RCB only
CCLF_HEME_0001_T,Other,,,,,,NOT IN CELLOSAURUS - Search returned 0 hits
WA-OSEL,CLL,CVCL_Y549,ACC-767,,,,,DSMZ only
DG-75,Burkitt,CVCL_0244,ACC-83,CRL-2625,,,,Both DSMZ and ATCC available
EB-3,Burkitt,CVCL_1185,,CCL-85,,,ATCC only
JiyoyeP-2003,Burkitt,CVCL_1317,ACC-590,CCL-87,,,,Both DSMZ and ATCC available
MN-60,Burkitt,CVCL_1421,ACC-138,,,,,DSMZ only
P32-ISH,Burkitt,CVCL_3119,,,,JCRB0095,,JCRB only
Ramos-2G6-4C10,Burkitt,CVCL_1646,,CRL-1923,,,ATCC only
TL-1,Burkitt,CVCL_B371,,,RCB1871,,JCRB/RCB/TKG only
BC-1,PEL,CVCL_1079,ACC-677,CRL-2230,,,,Both DSMZ and ATCC available
BC-2,PEL,CVCL_1856,ACC-678,CRL-2231,,,,Both DSMZ and ATCC available
BC-3,PEL,CVCL_1080,ACC-679,CRL-3615,,,,Both DSMZ and ATCC available
CRO-AP2,PEL,CVCL_1147,ACC-48,,,,,DSMZ only
JSC-1,PEL,CVCL_3728,,CRL-2769,,,ATCC only (discontinued)
SLVL,MZL,CVCL_3169,,,JCRB0159,,JCRB/RCB only
MAVER-1,MCL,CVCL_1831,ACC-717,CRL-3008,,,,Both DSMZ and ATCC available
JMP-1,MCL,CVCL_UJ14,,CRL-3378,,,ATCC only
