Sample.ID	Fusion_Name	Left_Gene	Right_Gene
DOHH-2	LY6E--IGH	LY6E	IGH@
DOHH-2	EEF2--IGL	IGL-@	EEF2
DOHH-2	BCL2--IGH	BCL2	IGH
DOHH-2	MYC--IGH	MYC	IGH
OCI-LY-19	SERPINB5--IGH	IGH@	SERPINB5
OCI-LY-19	BCL2--IGH	BCL2	IGH
Pfeiffer	BCL2--IGH	BCL2	IGH@
Pfeiffer	TP53--SOX5	TP53	SOX5
OCI-LY3	PRDM1--HBS1L	PRDM1	HBS1L
SU-DHL-10	BCL2--IGH	BCL2	IGH
SU-DHL-10	MYC--IGH	MYC	IGH
NU-DUL-1	FLOT2--IGL	IGL-@	FLOT2
NU-DUL-1	HELZ2--IGL	IGL-@	HELZ2
NU-DUL-1	CASC11--IGH	IGH@	CASC11
NU-DUL-1	HNRNPM--IGL	IGL-@	HNRNPM
NU-DUL-1	MT-CYB--IGH	IGHG1	MT-CYB
KARPAS-422	BCL2--IGH	BCL2	IGHG3
DB	BCL2--IGH	BCL2	IGH
SU-DHL-4	TNIP1--CIITA	TNIP1	CIITA
SU-DHL-4	ARID4B--BCL6	ARID4B	BCL6
SU-DHL-4	CIITA--EBF1	CIITA	EBF1
SU-DHL-4	BCL6--ARID4B	BCL6	ARID4B
SU-DHL-4	BCL2--IGH	BCL2	IGH
RL	BCL2--IGH	IGH-@	BCL2
NU-DHL-1	RPL32--IGL	IGL@	RPL32
NU-DHL-1	BCL2--IGH	BCL2	IGH
RI-1	FP236383.2--IGH	FP236383.2	IGH-@
RI-1	HNRNPUL1--IGH	HNRNPUL1	IGH@
WSU-DLCL2	SPAG5--PAX5	SPAG5	PAX5
WSU-DLCL2	MT-ATP6--IGL	MT-ATP6	IGL@
WSU-DLCL2	BCL2--IGH	BCL2	IGH
SU-DHL-6	BCL2--IGH	BCL2	IGH@
SU-DHL-8	PVT1--IGL	PVT1	IGL@
SU-DHL-8	MYC--IGL	MYC	IGL
SU-DHL-5	ANP32B--IGH	IGH-@	ANP32B
SU-DHL-5	AC098850.3--IGH	IGH@	AC098850.3
SU-DHL-5	AC098850.4--IGH	IGH@	AC098850.4
SU-DHL-5	MYD88--MT-ND5	MYD88	MT-ND5
OCI-Ly10	BCL2--IGH	BCL2	IGH
OCI-Ly10	MYC--IGH	MYC	IGH
OCI-LY18	BMS1P16--IGL	BMS1P16	IGL@
OCI-LY18	IGLVI-70--IGL	IGL-@	IGLVI-70
OCI-LY18	BCL2--IGH	BCL2	IGH
OCI-LY18	MYC--IGH	MYC	IGH
OCI-LY7	SMPD4--IGH	IGHM	SMPD4
OCI-LY7	GATAD1--IGH	GATAD1	IGHM
OCI-LY7	MYC--IGH	MYC	IGH
ULA	BCL2--IGH	BCL2	IGH@
VAL	BCL2--IGH	BCL2	IGH@
VAL	RHOH--BCL6	RHOH	BCL6
VAL	BCL6--RHOH	BCL6	RHOH
VAL	MYC--IGH	MYC	IGH
WSU-NHL	BCL2--IGH	BCL2	IGHGP
U-2946	MYC--IGH	IGH-@-ext	MYC
