Model	Subtype	true.neg	false.neg	false.pos	true.pos	Sensitivity	Specificity	Precision
Full	BN2	464	4	6	100	0.961538461538462	0.987234042553191	0.943396226415094
Full	EZB	486	3	1	84	0.96551724137931	0.997946611909651	0.988235294117647
Full	MCD	472	9	8	85	0.904255319148936	0.983333333333333	0.913978494623656
Full	N1	555	0	0	19	1	1	1
Full	ST2	517	4	22	31	0.885714285714286	0.959183673469388	0.584905660377358
Full	A53	502	14	13	45	0.76271186440678	0.974757281553398	0.775862068965517
NOCGH	BN2	463	7	5	99	0.933962264150943	0.989316239316239	0.951923076923077
NOCGH	EZB	480	7	7	80	0.919540229885057	0.985626283367556	0.919540229885057
NOCGH	MCD	452	13	25	84	0.865979381443299	0.947589098532495	0.770642201834862
NOCGH	N1	555	0	0	19	1	1	1
NOCGH	ST2	517	7	22	28	0.8	0.959183673469388	0.56
