Sample.Name	Copy.Number	BCL2.Translocation	BCL6.Translocation	Model.Used	Confidence.BN2	Confidence.EZB	Confidence.MCD	Confidence.N1	Confidence.ST2	Confidence.A53	BN2.Feature.Count	EZB.Feature.Count	MCD.Feature.Count	N1.Feature.Count	ST2.Feature.Count	A53.Feature.Count	Subtype.Prediction
DOHH-2	Available	yes	no	Full	0.01	0.7	0	0.07	0.08	0.02	0	2	1	0	1	1	EZB
OCI-LY-19	Available	yes	no	Full	0.01	0.96	0	0.07	0.11	0	0	4	1	0	1	0	EZB
Pfeiffer	Available	yes	no	Full	0.01	0.99	0	0.07	0.04	0.05	0	6	1	0	1	1	EZB
OCI-LY3	Available	no	no	Full	0.15	0	0.99	0.07	0.11	0.99	2	0	9	0	1	6	MCD/A53
SU-DHL-10	Available	yes	no	Full	0.01	0.99	0	0.07	0.01	0.13	0	5	0	0	0	2	EZB
Toledo	Available	no	no	Full	0.04	0.11	0	0.07	0.08	0.05	1	2	1	0	1	1	Other
NU-DUL-1	Available	no	no	Full	0.04	0.01	0	0.07	0.73	0.05	1	1	2	0	3	1	ST2
KARPAS-422	Available	yes	no	Full	0.01	0.99	0	0.07	0.08	0.32	0	6	2	0	1	3	EZB
DB	Available	yes	no	Full	0.01	0.99	0	0.07	0.01	0.15	0	5	0	0	0	2	EZB
SU-DHL-4	Available	yes	yes	Full	0.21	0.99	0	0.07	0.08	0.44	1	5	0	0	1	3	EZB
RL	Available	yes	no	Full	0.01	0.98	0	0.07	0.06	0.13	0	3	0	0	1	2	EZB
NU-DHL-1	Available	yes	no	Full	0.01	0.98	0	0.07	0.09	0.05	0	3	1	0	1	1	EZB
RI-1	Available	no	no	Full	0.29	0.13	0	0.07	0.11	0.56	1	2	1	0	1	3	A53
WSU-DLCL2	Available	yes	no	Full	0.01	0.99	0	0.07	0.32	0.15	0	4	1	0	2	2	EZB
SU-DHL-6	Available	yes	no	Full	0.01	0.99	0	0.07	0.01	0.12	0	6	2	0	0	2	EZB
SU-DHL-8	Available	no	no	Full	0.11	0.11	0	0.07	0.91	0.69	2	2	0	0	3	3	ST2
SU-DHL-5	Available	no	no	Full	0.02	0.04	0	0.07	0.99	0.01	1	2	2	0	6	1	ST2
HT	Available	no	no	Full	0.05	0.04	0	0.99	0.99	0.19	1	1	2	1	5	2	N1/ST2
OCI-Ly10	Available	yes	no	Full	0.01	0.43	0	0.07	0.01	0	0	1	0	0	0	0	Other
BJAB	Available	no	no	Full	0.05	0.67	0	0.99	0.84	0.97	1	3	1	1	3	5	N1/A53
OCI-LY18	Available	yes	no	Full	0.01	0.96	0	0.07	0.06	0	0	3	1	0	1	0	EZB
OCI-LY7	Available	no	no	Full	0.01	0	0	0.07	0.28	0.05	0	0	1	0	2	1	Other
U-2904	Available	no	no	Full	0.01	0.93	0.02	0.07	0.11	0.11	0	5	4	0	1	1	EZB
ULA	Available	yes	no	Full	0.01	0.99	0	0.07	0.01	0.69	0	4	0	0	0	4	EZB
VAL	Available	yes	yes	Full	0.21	0.99	0	0.07	0.28	0	1	5	0	0	2	0	EZB
WSU-NHL	Available	yes	no	Full	0.01	0.97	0	0.99	0.01	0.05	0	4	1	1	0	1	EZB/N1
KARPAS-231	Available	no	no	Full	0.01	0.11	0	0.07	0.01	0.39	0	2	0	0	0	3	Other
U-2946	Available	no	no	Full	0.01	0.16	0	0.32	0.34	0.05	0	1	1	1	2	1	Other
Farage	Available	no	no	Full	0.01	0.66	0	0.07	0.82	0.05	0	4	2	0	3	1	Other
KML-1	Available	no	no	Full	0.01	0	0	0.99	0.01	0.19	0	0	1	1	0	2	N1
RC-K8	Available	no	no	Full	0.16	0	0	0.07	0.99	0.09	2	0	1	0	6	2	ST2
RC	Available	no	no	Full	0.02	0.82	0	0.07	0.01	0.03	1	2	2	0	0	1	EZB
HF	Available	no	no	Full	0.01	0.75	0	0.07	0.05	0.93	0	3	1	0	1	4	A53
SU-DHL-2	Not Available	no	no	NOCGH	0.01	0.01	0	0.07	0.01		0	0	0	0	0		Other
OCI-Ly8	Not Available	no	no	NOCGH	0.01	0.01	0	0.07	0.01		0	0	0	0	0		Other
HBL-1	Not Available	no	no	NOCGH	0.01	0.01	0	0.07	0.01		0	0	0	0	0		Other
