Sample.ID	Copy.Number	BCL2.transloc	BCL6.transloc
DOHH-2	1	1	0
OCI-LY-19	1	1	0
Pfeiffer	1	1	0
OCI-LY3	1	0	0
SU-DHL-10	1	1	0
Toledo	1	0	0
NU-DUL-1	1	0	0
KARPAS-422	1	1	0
DB	1	1	0
SU-DHL-4	1	1	1
RL	1	1	0
NU-DHL-1	1	1	0
RI-1	1	0	0
WSU-DLCL2	1	1	0
SU-DHL-6	1	1	0
SU-DHL-8	1	0	0
SU-DHL-5	1	0	0
HT	1	0	0
OCI-Ly10	1	1	0
BJAB	1	0	0
OCI-LY18	1	1	0
OCI-LY7	1	0	0
U-2904	1	0	0
ULA	1	1	0
VAL	1	1	1
WSU-NHL	1	1	0
KARPAS-231	1	0	0
U-2946	1	0	0
Farage	1	0	0
KML-1	1	0	0
RC-K8	1	0	0
RC	1	0	0
HF	1	0	0
SU-DHL-2	0	0	0
OCI-Ly8	0	0	0
HBL-1	0	0	0
