Sample.ID	DepMap_ID	Subtype
DOHH-2	ACH-000056	DLBCL_GCB
OCI-LY-19	ACH-000124	DLBCL_GCB
Pfeiffer	ACH-000140	DLBCL_GCB
OCI-LY3	ACH-000158	DLBCL_ABC
SU-DHL-10	ACH-000271	DLBCL_GCB
Toledo	ACH-000285	DLBCL_GCB
NU-DUL-1	ACH-000287	DLBCL_ABC
KARPAS-422	ACH-000315	DLBCL_GCB
DB	ACH-000334	DLBCL_GCB
SU-DHL-4	ACH-000365	DLBCL_GCB
RL	ACH-000371	DLBCL_GCB
NU-DHL-1	ACH-000388	DLBCL_GCB
RI-1	ACH-000398	DLBCL_ABC
WSU-DLCL2	ACH-000534	DLBCL_GCB
SU-DHL-6	ACH-000611	DLBCL_GCB
SU-DHL-8	ACH-000656	DLBCL_GCB
SU-DHL-5	ACH-000660	DLBCL_GCB
HT	ACH-000914	DLBCL_GCB
OCI-Ly10	ACH-001146	DLBCL_ABC
BJAB	ACH-001447	DLBCL_GCB
OCI-LY18	ACH-001616	DLBCL_GCB
OCI-LY7	ACH-001617	DLBCL_GCB
U-2904	ACH-001677	DLBCL_ABC
ULA	ACH-001686	DLBCL_GCB
VAL	ACH-001703	DLBCL_GCB
WSU-NHL	ACH-001709	DLBCL_GCB
KARPAS-231	ACH-002255	DLBCL_GCB
U-2946	ACH-002677	DLBCL_ABC
Farage	ACH-001498	DLBCL_GCB
KML-1	ACH-001539	DLBCL_GCB
RC-K8	ACH-001638	DLBCL_GCB
RC	ACH-003106	DLBCL_GCB
HF	ACH-003108	DLBCL_GCB
SU-DHL-2	KLINE-001	DLBCL_ABC
OCI-Ly8	KLINE-002	DLBCL_GCB
HBL-1	KLINE-003	DLBCL_ABC
