depmap_id	name	coo	tl_prediction	tl_probability	tl_prob_BN2	tl_prob_EZB	tl_prob_MCD	tl_prob_ST2
ACH-000388	NU-DHL-1	GCB	BN2	0.420	0.420	0.293	0.174	0.113
ACH-001638	RC-K8	GCB	BN2	0.383	0.383	0.212	0.180	0.226
ACH-000656	SU-DHL-8	GCB	BN2	0.355	0.355	0.281	0.262	0.102
ACH-000287	NU-DUL-1	ABC	BN2	0.354	0.354	0.261	0.313	0.071
ACH-003106	RC	GCB	BN2	0.346	0.346	0.300	0.251	0.103
ACH-000124	OCI-LY-19	GCB	BN2	0.333	0.333	0.320	0.238	0.109
ACH-000534	WSU-DLCL2	GCB	EZB	0.733	0.133	0.733	0.035	0.098
ACH-000271	SU-DHL-10	GCB	EZB	0.711	0.144	0.711	0.041	0.105
ACH-000334	DB	GCB	EZB	0.694	0.158	0.694	0.089	0.059
ACH-000315	KARPAS-422	GCB	EZB	0.692	0.174	0.692	0.071	0.062
ACH-001686	ULA	GCB	EZB	0.674	0.157	0.674	0.047	0.122
ACH-000365	SU-DHL-4	GCB	EZB	0.673	0.175	0.673	0.047	0.106
ACH-000371	RL	GCB	EZB	0.634	0.198	0.634	0.060	0.108
ACH-000056	DOHH-2	GCB	EZB	0.627	0.195	0.627	0.076	0.101
ACH-000914	HT	GCB	EZB	0.585	0.214	0.585	0.097	0.105
ACH-000660	SU-DHL-5	GCB	EZB	0.532	0.244	0.532	0.093	0.131
ACH-001703	VAL	GCB	EZB	0.518	0.261	0.518	0.096	0.125
ACH-001498	Farage	GCB	EZB	0.505	0.238	0.505	0.086	0.171
ACH-000611	SU-DHL-6	GCB	EZB	0.501	0.247	0.501	0.158	0.094
ACH-001447	BJAB	GCB	EZB	0.482	0.265	0.482	0.107	0.146
ACH-001539	KML-1	GCB	EZB	0.474	0.273	0.474	0.135	0.118
ACH-001617	OCI-LY7	GCB	EZB	0.431	0.290	0.431	0.161	0.118
ACH-002677	U-2946	ABC	EZB	0.391	0.273	0.391	0.254	0.081
ACH-001616	OCI-LY18	GCB	EZB	0.356	0.253	0.356	0.314	0.078
ACH-001709	WSU-NHL	GCB	EZB	0.346	0.291	0.346	0.288	0.076
ACH-003108	HF	GCB	EZB	0.344	0.306	0.344	0.240	0.110
ACH-000158	OCI-LY3	ABC	MCD	0.746	0.212	0.025	0.746	0.018
ACH-000398	RI-1	ABC	MCD	0.501	0.314	0.142	0.501	0.043
ACH-001677	U-2904	ABC	MCD	0.394	0.297	0.246	0.394	0.062
ACH-000140	Pfeiffer	GCB	MCD	0.354	0.279	0.262	0.354	0.105
ACH-000285	Toledo	GCB	MCD	0.349	0.342	0.242	0.349	0.067
