Sample	ENTREZ.ID	Type
DOHH-2	4609	MUTATION
DOHH-2	5339	MUTATION
DOHH-2	64397	MUTATION
DOHH-2	22806	MUTATION
DOHH-2	131544	MUTATION
DOHH-2	613	MUTATION
DOHH-2	4519	MUTATION
DOHH-2	4519	MUTATION
DOHH-2	10071	MUTATION
DOHH-2	896	MUTATION
DOHH-2	1654	TRUNC
DOHH-2	57549	MUTATION
DOHH-2	9968	MUTATION
DOHH-2	83889	MUTATION
DOHH-2	26053	MUTATION
DOHH-2	6261	MUTATION
DOHH-2	10672	TRUNC
DOHH-2	57683	MUTATION
DOHH-2	8660	MUTATION
DOHH-2	7273	MUTATION
DOHH-2	57148	MUTATION
DOHH-2	675	MUTATION
DOHH-2	3394	MUTATION
DOHH-2	3394	MUTATION
DOHH-2	23266	MUTATION
DOHH-2	115	MUTATION
DOHH-2	163223	MUTATION
DOHH-2	9472	MUTATION
DOHH-2	133558	MUTATION
DOHH-2	7399	MUTATION
DOHH-2	3192	TRUNC
DOHH-2	91768	MUTATION
DOHH-2	8701	MUTATION
DOHH-2	4586	MUTATION
DOHH-2	4586	MUTATION
DOHH-2	11078	MUTATION
DOHH-2	4741	MUTATION
DOHH-2	23054	MUTATION
DOHH-2	4541	MUTATION
OCI-LY-19	3782	MUTATION
OCI-LY-19	3782	MUTATION
OCI-LY-19	3109	MUTATION
OCI-LY-19	26025	MUTATION
OCI-LY-19	4893	MUTATION
OCI-LY-19	84678	MUTATION
OCI-LY-19	22858	MUTATION
OCI-LY-19	4584	MUTATION
OCI-LY-19	253260	MUTATION
OCI-LY-19	1387	MUTATION
OCI-LY-19	23049	MUTATION
OCI-LY-19	8085	TRUNC
OCI-LY-19	8085	TRUNC
OCI-LY-19	23530	MUTATION
OCI-LY-19	9947	MUTATION
OCI-LY-19	2804	MUTATION
OCI-LY-19	1287	MUTATION
OCI-LY-19	8672	MUTATION
OCI-LY-19	596	MUTATION
OCI-LY-19	84059	MUTATION
OCI-LY-19	10178	MUTATION
